year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2016,Alabama,AL,Autauga,1001,President,Hillary Clinton,democrat,5936,24973,20190722
2016,Alabama,AL,Autauga,1001,President,Donald Trump,republican,18172,24973,20190722
2016,Alabama,AL,Autauga,1001,President,Other,NA,865,24973,20190722
2016,Alabama,AL,Baldwin,1003,President,Hillary Clinton,democrat,18458,95215,20190722
2016,Alabama,AL,Baldwin,1003,President,Donald Trump,republican,72883,95215,20190722
2016,Alabama,AL,Baldwin,1003,President,Other,NA,3874,95215,20190722
2016,Alabama,AL,Barbour,1005,President,Hillary Clinton,democrat,4871,10469,20190722
2016,Alabama,AL,Barbour,1005,President,Donald Trump,republican,5454,10469,20190722
2016,Alabama,AL,Barbour,1005,President,Other,NA,144,10469,20190722
2016,Alabama,AL,Bibb,1007,President,Hillary Clinton,democrat,1874,8819,20190722
2016,Alabama,AL,Bibb,1007,President,Donald Trump,republican,6738,8819,20190722
2016,Alabama,AL,Bibb,1007,President,Other,NA,207,8819,20190722
2016,Alabama,AL,Blount,1009,President,Hillary Clinton,democrat,2156,25588,20190722
2016,Alabama,AL,Blount,1009,President,Donald Trump,republican,22859,25588,20190722
2016,Alabama,AL,Blount,1009,President,Other,NA,573,25588,20190722
2016,Alabama,AL,Bullock,1011,President,Hillary Clinton,democrat,3530,4710,20190722
2016,Alabama,AL,Bullock,1011,President,Donald Trump,republican,1140,4710,20190722
2016,Alabama,AL,Bullock,1011,President,Other,NA,40,4710,20190722
2016,Alabama,AL,Butler,1013,President,Hillary Clinton,democrat,3726,8732,20190722
2016,Alabama,AL,Butler,1013,President,Donald Trump,republican,4901,8732,20190722
2016,Alabama,AL,Butler,1013,President,Other,NA,105,8732,20190722
2016,Alabama,AL,Calhoun,1015,President,Hillary Clinton,democrat,13242,47864,20190722
2016,Alabama,AL,Calhoun,1015,President,Donald Trump,republican,32865,47864,20190722
2016,Alabama,AL,Calhoun,1015,President,Other,NA,1757,47864,20190722
